manufacturer_id,manufacturer_name
465,Playskool Heroes
466,Warhammer
467,GoodsforU
468,Aimee shine
469,Halo
470,X-Wing Miniatures Game
471,The Adventures of Batman & Robin
472,Heart Art Collection
473,Men in Black
474,Fantasy Flight Games
475,Just For Fun
476,Big Chief
477,Master Replicas LLC.
478,k2-accessories Alphabet Letter Beads
479,k2-accessories Seed Beads
480,myStyle
481,Alex
482,Lyndie's Craft
483,Colour Changing Products
484,ETHAHE
485,SODIAL(R)
486,ToyGalaxy
487,MajorCrafts
488,Markylis
489,k2-accessories Jewellery Findings
490,Just Say Beads
491,Hama
492,HaSaH
493,Daisy Loom
494,k2-accessories Acrylic Plastic Beads
495,Fashion Lights
496,tinkertonk
497,Hama Beads
498,Riga
499,KSG
500,k2-accessories Charm Pendants
501,Loom
502,k2-accessories Alloy Metal Spacer Beads
503,BTC
504,Jacks
505,Rainbow Loom
506,Perler
507,Hape International
508,k2-accessories Craft
509,LoomAstic Bands
510,TOYLAND
511,Amazing child Montessori
512,Viskey
513,k2-accessories
514,Indigo
515,Grafix
516,SE
517,Ateamart
518,Bead-boutique
519,SES Creative
520,Diamant
521,JEWELTAILOR
522,DAN Import
523,k2-accessories Chip Beads
524,Toyland
525,Viga
526,Beado's
527,k2-accessories Organza Ribbon
528,Sequin Art Hello Kitty Gothic Design
529,eFashionsquare
530,Crafty Capers
531,Sequin Art Style Karoake
532,ZAP - Z
533,Crystals & Gems Uk
534,Flair
535,Hengsong
536,Kids Create
537,4M Crafty Kids
538,PLAYHOUSE FUN CRAFT
539,h grossman
540,Beads4crafts
541,Make It With Beads
542,Playbox
543,DKL
544,Crayola
545,Orien
546,GuideCraft
547,The Orb Factory
548,Sequin Art
549,TreasureTrove Toys
550,k2-accessories Ready Necklace & Bracelet
551,k2-accessories Organza Bags
552,Loom Bands
553,Pinflair
554,k2-accessories Beading Thread Wire
555,Fashion Angels
556,Millhouse
557,GOGO
558,Tidlo
559,Friendship Loom
560,Ark
561,Creativity International
562,Be Creative
563,Batman
564,Past Times Quilling
565,Craft Planet
566,Peaceable Kingdom
567,TREND ENTERPRISES INC.
568,Moon's Outlet
569,Schipper
570,Craftime
571,MADE4U
572,Anker
573,Paper Projects
574,Icon
575,Pinzhi
576,Alligator
577,Colour Talk
578,Anthony Peters
579,Sticker4U
580,The Original Glowstars
581,NPW
582,Disney Princess
583,Animewild
584,Abystyle
585,Cake Supplies
586,Craft
587,CRAFTY BITZ
588,HuntGold
589,Monster High
590,Peterkin
591,Starform
592,Decopatch
593,Anita's
594,Reeves
595,RCL Toys
